id, key,0.0,0.1,0.25,0.5,0.75,1.0,instance,celltype,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
2045127426,2342,18,111,160,402,367,567,ORN_VA7m,ORN_VA7m,33,33,149,33,8,36215311,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 33, 'post': 33, 'downstream': 149, 'upstream': 33, 'mito': 6, 'dark': 6}, 'AL-VA2(R)': {'pre': 2, 'post': 1, 'downstream': 5, 'upstream': 1}, 'AL-VA7m(R)': {'pre': 31, 'post': 32, 'downstream': 144, 'upstream': 32, 'mito': 6, 'dark': 6}}",,"['AL(R)', 'AL-VA2(R)', 'AL-VA7m(R)']","['AL(R)', 'AL-VA2(R)', 'AL-VA7m(R)']"
2045399533,2343,6,6,134,213,304,477,None,None,6,22,22,22,2,3613891,Orphan,,Orphan,,,,"{'AL(R)': {'pre': 6, 'post': 22, 'downstream': 22, 'upstream': 22, 'mito': 2, 'dark': 2}, 'AL-VA1d(R)': {'pre': 1, 'post': 7, 'downstream': 4, 'upstream': 7}, 'AL-VA1v(R)': {'pre': 5, 'post': 15, 'downstream': 18, 'upstream': 15, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA1d(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1d(R)', 'AL-VA1v(R)']"
2045412208,2344,6,6,7,439,363,563,ORN_VA1v,ORN_VA1v,28,29,120,29,2,13989610,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 28, 'post': 29, 'downstream': 120, 'upstream': 29, 'mito': 2, 'light': 2}, 'AL-VA1v(R)': {'pre': 28, 'post': 29, 'downstream': 120, 'upstream': 29, 'mito': 2, 'light': 2}}",,"['AL(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1v(R)']"
2045412276,2345,6,6,7,8,399,577,ORN_VA1v,ORN_VA1v,46,62,207,62,9,32193810,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 46, 'post': 62, 'downstream': 207, 'upstream': 62, 'mito': 9, 'dark': 8, 'medium': 1}, 'AL-VA1v(R)': {'pre': 46, 'post': 62, 'downstream': 207, 'upstream': 62, 'mito': 9, 'dark': 8, 'medium': 1}}",,"['AL(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1v(R)']"
2045412445,2346,6,6,264,84,412,577,None,None,7,14,31,14,2,3229313,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 7, 'post': 14, 'downstream': 31, 'upstream': 14, 'mito': 2, 'dark': 2}, 'AL-VA1v(R)': {'pre': 7, 'post': 14, 'downstream': 31, 'upstream': 14, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1v(R)']"
2045416817,2347,6,6,181,439,363,563,ORN_VA1v,ORN_VA1v,25,23,86,23,8,24915677,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 25, 'post': 23, 'downstream': 86, 'upstream': 23, 'mito': 8, 'dark': 8}, 'AL-VA1v(R)': {'pre': 25, 'post': 21, 'downstream': 86, 'upstream': 21, 'mito': 7, 'dark': 7}, 'AL-VA5(R)': {'post': 2, 'upstream': 2, 'mito': 1, 'dark': 1}}",,"['AL(R)', 'AL-VA1v(R)', 'AL-VA5(R)']","['AL(R)', 'AL-VA1v(R)']"
2045421319,2348,6,6,7,315,413,627,ORN_VA1v,ORN_VA1v,35,36,127,36,8,38755074,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 35, 'post': 36, 'downstream': 127, 'upstream': 36, 'mito': 8, 'dark': 8}, 'AL-VA1v(R)': {'pre': 35, 'post': 36, 'downstream': 127, 'upstream': 36, 'mito': 8, 'dark': 8}}",,"['AL(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1v(R)']"
2045433745,2349,12,13,17,440,364,133,None,None,9,16,41,16,2,3645700,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 9, 'post': 16, 'downstream': 41, 'upstream': 16, 'mito': 2, 'dark': 2}, 'AL-VA6(R)': {'pre': 9, 'post': 16, 'downstream': 41, 'upstream': 16, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA6(R)']","['AL(R)', 'AL-VA6(R)']"
2045438040,2350,12,13,17,21,402,416,None,None,24,117,112,117,10,31513165,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 24, 'post': 117, 'downstream': 112, 'upstream': 117, 'mito': 10, 'dark': 10}, 'AL-VA6(R)': {'pre': 20, 'post': 112, 'downstream': 102, 'upstream': 112, 'mito': 9, 'dark': 9}, 'AL-VM5v(R)': {'pre': 2, 'post': 1, 'downstream': 6, 'upstream': 1, 'mito': 1, 'dark': 1}, 'AL-VA7l(R)': {'pre': 1, 'post': 1, 'downstream': 2, 'upstream': 1}, 'AL-VA7m(R)': {'pre': 1, 'post': 3, 'downstream': 2, 'upstream': 3}}",,"['AL(R)', 'AL-VA6(R)', 'AL-VA7l(R)', 'AL-VA7m(R)', 'AL-VM5v(R)']","['AL(R)', 'AL-VA6(R)', 'AL-VA7l(R)', 'AL-VA7m(R)', 'AL-VM5v(R)']"
2045459990,2351,19,138,208,332,298,467,ORN_VM5v,ORN_VM5v,99,117,397,117,26,64168209,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 99, 'post': 117, 'downstream': 397, 'upstream': 117, 'mito': 25, 'dark': 21, 'medium': 4}, 'AL-VA6(R)': {'pre': 8, 'post': 1, 'downstream': 45, 'upstream': 1, 'mito': 2, 'dark': 2}, 'AL-VM5v(R)': {'pre': 84, 'post': 104, 'downstream': 324, 'upstream': 104, 'mito': 18, 'dark': 14, 'medium': 4}, 'AL-VM5d(R)': {'post': 1, 'upstream': 1, 'mito': 3, 'dark': 3}, 'AL-VA7m(R)': {'pre': 7, 'post': 11, 'downstream': 28, 'upstream': 11, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA6(R)', 'AL-VA7m(R)', 'AL-VM5d(R)', 'AL-VM5v(R)']","['AL(R)', 'AL-VA6(R)', 'AL-VA7m(R)', 'AL-VM5v(R)']"
2046090071,2352,4,4,5,84,6,628,ORN_DC3,ORN_DC3,13,18,73,18,13,22394716,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 13, 'post': 18, 'downstream': 73, 'upstream': 18, 'mito': 12, 'dark': 12}, 'AL-DC3(R)': {'pre': 13, 'post': 14, 'downstream': 73, 'upstream': 14, 'mito': 3, 'dark': 3}, 'AL-VA1d(R)': {'post': 3, 'upstream': 3, 'mito': 3, 'dark': 3}, 'AL-VA1v(R)': {'post': 1, 'upstream': 1, 'mito': 6, 'dark': 6}}",,"['AL(R)', 'AL-DC3(R)', 'AL-VA1d(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-DC3(R)']"
2046128726,2353,19,138,208,332,308,483,ORN_VM5v,ORN_VM5v,66,90,260,90,20,65634538,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 66, 'post': 90, 'downstream': 260, 'upstream': 90, 'mito': 20, 'dark': 19, 'medium': 1}, 'AL-VM5v(R)': {'pre': 59, 'post': 82, 'downstream': 235, 'upstream': 82, 'mito': 13, 'dark': 12, 'medium': 1}, 'AL-VC4(R)': {'pre': 1, 'post': 2, 'downstream': 4, 'upstream': 2, 'mito': 3, 'dark': 3}, 'AL-VA7m(R)': {'pre': 6, 'post': 6, 'downstream': 21, 'upstream': 6, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA7m(R)', 'AL-VC4(R)', 'AL-VM5v(R)']","['AL(R)', 'AL-VA7m(R)', 'AL-VC4(R)', 'AL-VM5v(R)']"
2046439442,2354,6,6,181,441,414,629,ORN_VA1v,ORN_VA1v,40,35,158,35,8,41888894,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 40, 'post': 35, 'downstream': 158, 'upstream': 35, 'mito': 7, 'dark': 6, 'medium': 1}, 'AL-VA1v(R)': {'pre': 40, 'post': 35, 'downstream': 158, 'upstream': 35, 'mito': 7, 'dark': 6, 'medium': 1}}",,"['AL(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1v(R)']"
