id, key,0.0,0.1,0.25,0.5,0.75,instance,celltype,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
2135844546,2712,3,3,492,630,156,None,None,3,3,8,3,1,1677084,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 3, 'post': 3, 'downstream': 8, 'upstream': 3, 'mito': 1, 'dark': 1}, 'AL-VM3(R)': {'pre': 3, 'post': 3, 'downstream': 8, 'upstream': 3, 'mito': 1, 'dark': 1}}",,"['AL(R)', 'AL-VM3(R)']","['AL(R)', 'AL-VM3(R)']"
2135845040,2713,3,222,315,402,499,None,None,17,69,110,69,10,17299703,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 17, 'post': 69, 'downstream': 110, 'upstream': 69, 'mito': 10, 'dark': 10}, 'AL-VM3(R)': {'pre': 17, 'post': 68, 'downstream': 110, 'upstream': 68, 'mito': 10, 'dark': 10}, 'AL-VC4(R)': {'post': 1, 'upstream': 1}}",,"['AL(R)', 'AL-VC4(R)', 'AL-VM3(R)']","['AL(R)', 'AL-VM3(R)']"
2136090632,2714,7,341,488,626,742,None,None,2,5,8,5,2,1789103,Assign,,0.5assign,,,,"{'AL(R)': {'pre': 2, 'post': 5, 'downstream': 8, 'upstream': 5, 'mito': 2, 'dark': 2}, 'AL-VL2a(R)': {'pre': 2, 'post': 5, 'downstream': 8, 'upstream': 5, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VL2a(R)']","['AL(R)', 'AL-VL2a(R)']"
2136121072,2715,4,342,493,631,4,None,None,2,8,5,8,2,2519756,Assign,,0.5assign,,,,"{'AL(R)': {'pre': 2, 'post': 8, 'downstream': 5, 'upstream': 8, 'mito': 2, 'dark': 2}}",,['AL(R)'],['AL(R)']
2136146972,2716,6,84,54,160,693,ORN_VC2,ORN_VC2,47,52,189,52,20,52517071,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 47, 'post': 52, 'downstream': 189, 'upstream': 52, 'mito': 12, 'dark': 10, 'light': 1, 'medium': 1}, 'AL-VC3l(R)': {'pre': 1, 'post': 2, 'downstream': 1, 'upstream': 2, 'mito': 2, 'dark': 2}, 'AL-VC2(R)': {'pre': 45, 'post': 48, 'downstream': 186, 'upstream': 48, 'mito': 5, 'dark': 4, 'medium': 1}, 'AL-VA4(R)': {'pre': 1, 'post': 2, 'downstream': 2, 'upstream': 2, 'mito': 5, 'dark': 4, 'light': 1}}",,"['AL(R)', 'AL-VA4(R)', 'AL-VC2(R)', 'AL-VC3l(R)']","['AL(R)', 'AL-VA4(R)', 'AL-VC2(R)', 'AL-VC3l(R)']"
2136151495,2717,6,84,54,160,220,ORN_VC2,ORN_VC2,56,59,279,59,31,61730721,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 56, 'post': 59, 'downstream': 279, 'upstream': 59, 'mito': 22, 'dark': 19, 'light': 3}, 'AL-VC2(R)': {'pre': 55, 'post': 58, 'downstream': 273, 'upstream': 58, 'mito': 9, 'dark': 9}, 'AL-VA4(R)': {'pre': 1, 'post': 1, 'downstream': 6, 'upstream': 1, 'mito': 7, 'dark': 4, 'light': 3}}",,"['AL(R)', 'AL-VA4(R)', 'AL-VC2(R)']","['AL(R)', 'AL-VA4(R)', 'AL-VC2(R)']"
2136177644,2718,8,343,494,632,747,None,None,3,2,20,2,1,1661748,Assign,,0.5assign,,,,"{'AL(R)': {'pre': 3, 'post': 2, 'downstream': 20, 'upstream': 2, 'mito': 1, 'dark': 1}, 'AL-VM3(R)': {'pre': 3, 'post': 2, 'downstream': 20, 'upstream': 2, 'mito': 1, 'dark': 1}}",,"['AL(R)', 'AL-VM3(R)']","['AL(R)', 'AL-VM3(R)']"
2136185907,2719,4,222,315,633,748,None,None,6,8,21,8,2,2933865,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 6, 'post': 8, 'downstream': 21, 'upstream': 8, 'mito': 2, 'dark': 2}, 'AL-VM3(R)': {'pre': 6, 'post': 8, 'downstream': 21, 'upstream': 8, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VM3(R)']","['AL(R)', 'AL-VM3(R)']"
2136449151,2720,4,3,495,453,548,None,None,2,3,8,3,0,813146,Assign,,0.5assign,,,,"{'AL(R)': {'pre': 2, 'post': 3, 'downstream': 8, 'upstream': 3}, 'AL-VL2a(R)': {'pre': 2, 'post': 3, 'downstream': 8, 'upstream': 3}}",,"['AL(R)', 'AL-VL2a(R)']","['AL(R)', 'AL-VL2a(R)']"
2136518416,2721,4,222,315,402,749,None,None,41,124,150,124,17,39114255,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 41, 'post': 124, 'downstream': 150, 'upstream': 124, 'mito': 17, 'dark': 13, 'medium': 4}, 'AL-VC4(R)': {'pre': 7, 'post': 28, 'downstream': 27, 'upstream': 28, 'mito': 2, 'dark': 2}, 'AL-VC2(R)': {'pre': 2, 'post': 9, 'downstream': 10, 'upstream': 9, 'mito': 1, 'dark': 1}, 'AL-VA2(R)': {'pre': 1, 'downstream': 4}, 'AL-VM3(R)': {'pre': 4, 'post': 10, 'downstream': 18, 'upstream': 10, 'mito': 2, 'dark': 2}, 'AL-VM4(R)': {'pre': 25, 'post': 70, 'downstream': 83, 'upstream': 70, 'mito': 11, 'dark': 7, 'medium': 4}, 'AL-VA4(R)': {'pre': 2, 'post': 7, 'downstream': 8, 'upstream': 7, 'mito': 1, 'dark': 1}}",,"['AL(R)', 'AL-VA4(R)', 'AL-VC2(R)', 'AL-VC4(R)', 'AL-VM3(R)', 'AL-VM4(R)']","['AL(R)', 'AL-VA2(R)', 'AL-VA4(R)', 'AL-VC2(R)', 'AL-VC4(R)', 'AL-VM3(R)', 'AL-VM4(R)']"
2136522616,2722,16,97,145,182,247,ORN_VA2,ORN_VA2,79,153,376,153,18,47130706,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 79, 'post': 153, 'downstream': 376, 'upstream': 153, 'mito': 18, 'dark': 18}, 'AL-VA2(R)': {'pre': 73, 'post': 141, 'downstream': 346, 'upstream': 141, 'mito': 16, 'dark': 16}, 'AL-VC4(R)': {'pre': 1, 'post': 3, 'downstream': 6, 'upstream': 3}, 'AL-VA3(R)': {'pre': 5, 'post': 7, 'downstream': 24, 'upstream': 7, 'mito': 1, 'dark': 1}, 'AL-VM3(R)': {'post': 2, 'upstream': 2, 'mito': 1, 'dark': 1}}",,"['AL(R)', 'AL-VA2(R)', 'AL-VA3(R)', 'AL-VC4(R)', 'AL-VM3(R)']","['AL(R)', 'AL-VA2(R)', 'AL-VA3(R)', 'AL-VC4(R)']"
2136522952,2723,16,97,145,182,750,ORN_VA2,ORN_VA2,40,56,146,56,6,21027868,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 40, 'post': 56, 'downstream': 146, 'upstream': 56, 'mito': 6, 'dark': 6}, 'AL-VA2(R)': {'pre': 40, 'post': 56, 'downstream': 146, 'upstream': 56, 'mito': 6, 'dark': 6}}",,"['AL(R)', 'AL-VA2(R)']","['AL(R)', 'AL-VA2(R)']"
2136527298,2724,16,97,145,182,750,ORN_VA2,ORN_VA2,34,59,152,59,6,17882459,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 34, 'post': 59, 'downstream': 152, 'upstream': 59, 'mito': 6, 'dark': 6}, 'AL-VM3(R)': {'pre': 3, 'post': 7, 'downstream': 14, 'upstream': 7}, 'AL-VA2(R)': {'pre': 31, 'post': 52, 'downstream': 138, 'upstream': 52, 'mito': 6, 'dark': 6}}",,"['AL(R)', 'AL-VA2(R)', 'AL-VM3(R)']","['AL(R)', 'AL-VA2(R)', 'AL-VM3(R)']"
2136798792,2725,5,5,6,6,6,ORN_VA1v,ORN_VA1v,92,100,400,100,25,80160084,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 92, 'post': 100, 'downstream': 400, 'upstream': 100, 'mito': 22, 'dark': 21, 'medium': 1}, 'AL-VA1v(R)': {'pre': 92, 'post': 100, 'downstream': 400, 'upstream': 100, 'mito': 22, 'dark': 21, 'medium': 1}}",,"['AL(R)', 'AL-VA1v(R)']","['AL(R)', 'AL-VA1v(R)']"
2136828921,2726,6,84,4,634,751,None,None,3,14,13,14,1,2177498,Orphan,,Orphan,,,,"{'AL(R)': {'pre': 3, 'post': 14, 'downstream': 13, 'upstream': 14, 'mito': 1, 'dark': 1}, 'AL-VC2(R)': {'pre': 3, 'post': 14, 'downstream': 13, 'upstream': 14, 'mito': 1, 'dark': 1}}",,"['AL(R)', 'AL-VC2(R)']","['AL(R)', 'AL-VC2(R)']"
2136850995,2727,16,3,4,635,156,None,None,2,8,6,8,1,2550996,Assign,,0.5assign,,,,"{'AL(R)': {'pre': 2, 'post': 8, 'downstream': 6, 'upstream': 8, 'mito': 1, 'dark': 1}, 'AL-VC4(R)': {'post': 3, 'upstream': 3, 'mito': 1, 'dark': 1}, 'AL-VA2(R)': {'pre': 2, 'post': 5, 'downstream': 6, 'upstream': 5}}",,"['AL(R)', 'AL-VA2(R)', 'AL-VC4(R)']","['AL(R)', 'AL-VA2(R)']"
2136863859,2728,16,97,496,383,752,None,None,12,11,51,11,2,5091724,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 12, 'post': 11, 'downstream': 51, 'upstream': 11, 'mito': 2, 'dark': 2}, 'AL-VA2(R)': {'pre': 12, 'post': 11, 'downstream': 51, 'upstream': 11, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA2(R)']","['AL(R)', 'AL-VA2(R)']"
2136872016,2729,16,97,145,588,698,ORN_VA2,ORN_VA2,23,39,103,39,3,13823590,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 23, 'post': 39, 'downstream': 103, 'upstream': 39, 'mito': 3, 'dark': 3}, 'AL-VA2(R)': {'pre': 23, 'post': 39, 'downstream': 103, 'upstream': 39, 'mito': 3, 'dark': 3}}",,"['AL(R)', 'AL-VA2(R)']","['AL(R)', 'AL-VA2(R)']"
2137161409,2730,6,26,39,53,81,ORN_VA7l,ORN_VA7l,51,43,216,43,24,46993038,Traced,True,Leaves,,,,"{'AL(R)': {'pre': 51, 'post': 43, 'downstream': 216, 'upstream': 43, 'mito': 24, 'dark': 21, 'medium': 3}, 'AL-VA7l(R)': {'pre': 50, 'post': 41, 'downstream': 212, 'upstream': 41, 'mito': 11, 'dark': 8, 'medium': 3}, 'AL-VM4(R)': {'pre': 1, 'downstream': 4, 'mito': 3, 'dark': 3}, 'AL-VA3(R)': {'post': 1, 'upstream': 1, 'mito': 2, 'dark': 2}, 'AL-VL1(R)': {'post': 1, 'upstream': 1, 'mito': 2, 'dark': 2}}",,"['AL(R)', 'AL-VA3(R)', 'AL-VA7l(R)', 'AL-VL1(R)']","['AL(R)', 'AL-VA7l(R)', 'AL-VM4(R)']"
